MDS,CAPE14,Cost,A-Cost,OCPFH,A-OCPFH,Exclude,Inflation Type,Deflator,Year,TAI,Hours,Family,Included,MAMRO,L1 Code,L2 Code,Full Code,L1 Desc,L2 Desc,Full Desc,T/M/S
A-10C,TY Operational Cost Per Flying Hour,20814,21683.5087,20814,21615.95181,,C,0.9599,2018,282,78016,A-10,FALSE,0,0,0.1,0.1.1,0.Other,0.1.Total Costs,0.1.TY Operational Cost Per Flying Hour,A-10C
A-10C,TY C14_1.1.1 - Pilot,41400614,43584181.49,20814,21615.95181,,P,0.9499,2018,282,78016,A-10,FALSE,0,1,1.1,1.1.1,1.Unit Level Manpower,1.1.Operations,1.1.1.Pilot,A-10C
A-10C,TY C14_1.1.2 - Aircrew,10823864,11394740.5,20814,21615.95181,,P,0.9499,2018,282,78016,A-10,FALSE,0,1,1.1,1.1.2,1.Unit Level Manpower,1.1.Operations,1.1.2.Aircrew,A-10C
A-10C,TY C14_1.1.3 - Crew Technician,7161279,7538981.998,20814,21615.95181,,P,0.9499,2018,282,78016,A-10,FALSE,0,1,1.1,1.1.3,1.Unit Level Manpower,1.1.Operations,1.1.3.Crew Technician,A-10C
A-10C,TY C14_1.1.4 - Command & Control,125308134,131917185,20814,21615.95181,,P,0.9499,2018,282,78016,A-10,FALSE,0,1,1.1,1.1.4,1.Unit Level Manpower,1.1.Operations,1.1.4.Command & Control,A-10C
A-10C,TY C14_1.2.1 - Organizational,204805789,215607736.6,20814,21615.95181,,P,0.9499,2018,282,78016,A-10,TRUE,Techs,1,1.2,1.2.1,1.Unit Level Manpower,1.2.Unit Level Maintenance,1.2.1.Organizational,A-10C
A-10C,TY C14_1.2.2 - Intermediate,83239133,87629364.14,20814,21615.95181,,P,0.9499,2018,282,78016,A-10,TRUE,Techs,1,1.2,1.2.2,1.Unit Level Manpower,1.2.Unit Level Maintenance,1.2.2.Intermediate,A-10C
A-10C,TY C14_1.2.3 - Ordnance,79300679,83483186.65,20814,21615.95181,,P,0.9499,2018,282,78016,A-10,FALSE,0,1,1.2,1.2.3,1.Unit Level Manpower,1.2.Unit Level Maintenance,1.2.3.Ordnance,A-10C
A-10C,TY C14_1.2.4 - Other Maintenance,605560,637498.6841,20814,21615.95181,,P,0.9499,2018,282,78016,A-10,TRUE,Techs,1,1.2,1.2.4,1.Unit Level Manpower,1.2.Unit Level Maintenance,1.2.4.Other Maintenance,A-10C
A-10C,TY C14_1.3.1 - Unit Staff,37255445,39220386.36,20814,21615.95181,,P,0.9499,2018,282,78016,A-10,FALSE,0,1,1.3,1.3.1,1.Unit Level Manpower,1.3.Other Unit Level,1.3.1.Unit Staff,A-10C
A-10C,TY C14_1.3.2 - Security,7543236,7941084.325,20814,21615.95181,,P,0.9499,2018,282,78016,A-10,FALSE,0,1,1.3,1.3.2,1.Unit Level Manpower,1.3.Other Unit Level,1.3.2.Security,A-10C
A-10C,TY C14_1.3.3 - Logistics,682793,718805.1374,20814,21615.95181,,P,0.9499,2018,282,78016,A-10,FALSE,0,1,1.3,1.3.3,1.Unit Level Manpower,1.3.Other Unit Level,1.3.3.Logistics,A-10C
