MDS,CAPE14,Cost,A-Cost,OCPFH,A-OCPFH,Exclude,Inflation Type,Deflator,Year,TAI,Hours,Family,Included,MAMRO,L1 Code,L2 Code,Full Code,L1 Desc,L2 Desc,Full Desc,T/M/S
AH-1W,1.1 Operations Manpower,13254284,13953346.67,22566.5981,23436.07654,,P,0.9499,2018,61,9276,Huey,FALSE,0,1,1.1,1.1,1.0 Unit-Level Manpower,1.1 Operations Manpower,1.1 Operations Manpower,AH-1W
AH-1W,1.2 Unit-Level Maintenance Manpower,24123183,25395497.42,22566.5981,23436.07654,,P,0.9499,2018,61,9276,Huey,TRUE,Techs,1,1.2,1.2,1.0 Unit-Level Manpower,1.2 Unit-Level Maintenance Manpower,1.2 Unit-Level Maintenance Manpower,AH-1W
AH-1W,1.3 Other Unit-Level Manpower,2669391,2810181.072,22566.5981,23436.07654,,P,0.9499,2018,61,9276,Huey,FALSE,0,1,1.3,1.3,1.0 Unit-Level Manpower,1.3 Other Unit-Level Manpower,1.3 Other Unit-Level Manpower,AH-1W
AH-1W,2.1 Operating Material,20669212,21465585.21,22566.5981,23436.07654,,M,0.9629,2018,61,9276,Huey,FALSE,0,2,2.1,2.1,2.0 Unit Operations,2.1 Operating Material,2.1 Operating Material,AH-1W
AH-1W,2.3 Temporary Duty,1450445,1526944.942,22566.5981,23436.07654,,P,0.9499,2018,61,9276,Huey,FALSE,0,2,2.3,2.3,2.0 Unit Operations,2.3 Temporary Duty,2.3 Temporary Duty,AH-1W
AH-1W,2.4 Transportation,1020229,1062849.255,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,FALSE,0,2,2.4,2.4,2.0 Unit Operations,2.4 Transportation,2.4 Transportation,AH-1W
AH-1W,3.1 Consumable Materials and Repair Parts,25510390,26493291.1,22566.5981,23436.07654,,M,0.9629,2018,61,9276,Huey,TRUE,Field,3,3.1,3.1,3.0 Maintenance,3.1 Consumable Materials and Repair Parts,3.1 Consumable Materials and Repair Parts,AH-1W
AH-1W,3.2 Depot Level Reparables (DLRs),47502631,49487062.19,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,TRUE,Comps,3,3.2,3.2,3.0 Maintenance,3.2 Depot Level Reparables (DLRs),3.2 Depot Level Reparables (DLRs),AH-1W
AH-1W,3.3 Intermediate Maintenance (External to Unit-Level),29542929,30777090.32,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,TRUE,Field,3,3.3,3.3,3.0 Maintenance,3.3 Intermediate Maintenance (External to Unit-Level),3.3 Intermediate Maintenance (External to Unit-Level),AH-1W
AH-1W,3.4 Depot Maintenance,8545316,8902298.156,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,TRUE,CLS,3,3.4,3.4,3.0 Maintenance,3.4 Depot Maintenance,3.4 Depot Maintenance,AH-1W
AH-1W,3.5 Other Maintenance,677727,706039.1707,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,TRUE,CLS,3,3.5,3.5,3.0 Maintenance,3.5 Other Maintenance,3.5 Other Maintenance,AH-1W
AH-1W,4.1 System-Specific Training,619165,645030.7324,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,FALSE,0,4,4.1,4.1,4.0 Sustaining Support,4.1 System-Specific Training,4.1 System-Specific Training,AH-1W
AH-1W,4.2 Support Equipment Replacement and Repair,570143,593960.8293,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,FALSE,0,4,4.2,4.2,4.0 Sustaining Support,4.2 Support Equipment Replacement and Repair,4.2 Support Equipment Replacement and Repair,AH-1W
AH-1W,4.3 Sustaining/Systems Engineering,1094734,1140466.715,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,FALSE,0,4,4.3,4.3,4.0 Sustaining Support,4.3 Sustaining/Systems Engineering,4.3 Sustaining/Systems Engineering,AH-1W
AH-1W,4.4 Program Management,6192588,6451284.509,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,FALSE,0,4,4.4,4.4,4.0 Sustaining Support,4.4 Program Management,4.4 Program Management,AH-1W
AH-1W,4.7 Simulator Operations and Repair,1042679,1086237.108,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,FALSE,0,4,4.7,4.7,4.0 Sustaining Support,4.7 Simulator Operations and Repair,4.7 Simulator Operations and Repair,AH-1W
AH-1W,5.1 Hardware Modifications or Modernization,21531699,22431189.71,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,FALSE,0,5,5.1,5.1,5.0 Continuing System Improvements,5.1 Hardware Modifications or Modernization,5.1 Hardware Modifications or Modernization,AH-1W
AH-1W,5.2 Software Maintenance and Modifications,3311019,3449337.431,22566.5981,23436.07654,,C,0.9599,2018,61,9276,Huey,FALSE,0,5,5.2,5.2,5.0 Continuing System Improvements,5.2 Software Maintenance and Modifications,5.2 Software Maintenance and Modifications,AH-1W
AH-1W,A1.2 Marine Aircraft Count,61,61,22566.5981,23436.07654,,None,1,2018,61,9276,Huey,FALSE,TAI,A1,A1.2,A1.2,A1.0 Total Aircraft Count,A1.2 Marine Aircraft Count,A1.2 Marine Aircraft Count,AH-1W
AH-1W,A2.2 Marine Flying Hours,9276,9276,22566.5981,23436.07654,,None,1,2018,61,9276,Huey,FALSE,Hours,A2,A2.2,A2.2,A2.0 Total Flying Hours,A2.2 Marine Flying Hours,A2.2 Marine Flying Hours,AH-1W
AH-1Z,1.1 Operations Manpower,36047551,37948785.14,15068.98512,15649.58472,,P,0.9499,2018,95,20302,Huey,FALSE,0,1,1.1,1.1,1.0 Unit-Level Manpower,1.1 Operations Manpower,1.1 Operations Manpower,AH-1Z
AH-1Z,1.2 Unit-Level Maintenance Manpower,56989937,59995722.71,15068.98512,15649.58472,,P,0.9499,2018,95,20302,Huey,TRUE,Techs,1,1.2,1.2,1.0 Unit-Level Manpower,1.2 Unit-Level Maintenance Manpower,1.2 Unit-Level Maintenance Manpower,AH-1Z
AH-1Z,1.3 Other Unit-Level Manpower,6827812,7187927.15,15068.98512,15649.58472,,P,0.9499,2018,95,20302,Huey,FALSE,0,1,1.3,1.3,1.0 Unit-Level Manpower,1.3 Other Unit-Level Manpower,1.3 Other Unit-Level Manpower,AH-1Z
AH-1Z,2.1 Operating Material,45378445,47126851.18,15068.98512,15649.58472,,M,0.9629,2018,95,20302,Huey,FALSE,0,2,2.1,2.1,2.0 Unit Operations,2.1 Operating Material,2.1 Operating Material,AH-1Z
AH-1Z,2.3 Temporary Duty,2103707,2214661.543,15068.98512,15649.58472,,P,0.9499,2018,95,20302,Huey,FALSE,0,2,2.3,2.3,2.0 Unit Operations,2.3 Temporary Duty,2.3 Temporary Duty,AH-1Z
AH-1Z,2.4 Transportation,3759838,3916905.928,15068.98512,15649.58472,,C,0.9599,2018,95,20302,Huey,FALSE,0,2,2.4,2.4,2.0 Unit Operations,2.4 Transportation,2.4 Transportation,AH-1Z
AH-1Z,3.1 Consumable Materials and Repair Parts,24259391,25194091.81,15068.98512,15649.58472,,M,0.9629,2018,95,20302,Huey,TRUE,Field,3,3.1,3.1,3.0 Maintenance,3.1 Consumable Materials and Repair Parts,3.1 Consumable Materials and Repair Parts,AH-1Z
AH-1Z,3.2 Depot Level Reparables (DLRs),40786505,42490368.79,15068.98512,15649.58472,,C,0.9599,2018,95,20302,Huey,TRUE,Comps,3,3.2,3.2,3.0 Maintenance,3.2 Depot Level Reparables (DLRs),3.2 Depot Level Reparables (DLRs),AH-1Z
AH-1Z,3.3 Intermediate Maintenance (External to Unit-Level),25631180,26701927.28,15068.98512,15649.58472,,C,0.9599,2018,95,20302,Huey,TRUE,Field,3,3.3,3.3,3.0 Maintenance,3.3 Intermediate Maintenance (External to Unit-Level),3.3 Intermediate Maintenance (External to Unit-Level),AH-1Z
AH-1Z,3.4 Depot Maintenance,5609317,5843647.255,15068.98512,15649.58472,,C,0.9599,2018,95,20302,Huey,TRUE,CLS,3,3.4,3.4,3.0 Maintenance,3.4 Depot Maintenance,3.4 Depot Maintenance,AH-1Z
AH-1Z,3.5 Other Maintenance,5597249,5831075.112,15068.98512,15649.58472,,C,0.9599,2018,95,20302,Huey,TRUE,CLS,3,3.5,3.5,3.0 Maintenance,3.5 Other Maintenance,3.5 Other Maintenance,AH-1Z
AH-1Z,4.1 System-Specific Training,813519,847503.9067,15068.98512,15649.58472,,C,0.9599,2018,95,20302,Huey,FALSE,0,4,4.1,4.1,4.0 Sustaining Support,4.1 System-Specific Training,4.1 System-Specific Training,AH-1Z
AH-1Z,4.2 Support Equipment Replacement and Repair,878440,915136.9934,15068.98512,15649.58472,,C,0.9599,2018,95,20302,Huey,FALSE,0,4,4.2,4.2,4.0 Sustaining Support,4.2 Support Equipment Replacement and Repair,4.2 Support Equipment Replacement and Repair,AH-1Z
